Array Size,,100,,,1000,,,10000,,,30000
Array Type,inc,dec,ran,inc,dec,ran,inc,dec,ran,inc,dec,ran
selection,1.29e-05,1.35e-05,1.61e-05,0.001126,0.0011988,0.0011803,0.112188,0.118271,0.113215,1.03566,1.06866,1.01145
bubble,6e-07,3.46e-05,3.58e-05,2.9e-06,0.0032843,0.0030728,2.32e-05,0.329971,0.365854,6.93e-05,2.97342,3.53543
insertion,9e-07,1.41e-05,8.2e-06,3.8e-06,0.0013052,0.0006519,3.46e-05,0.129853,0.0654082,0.0001032,1.18628,0.585198
modified insertion,2.9e-06,5.19e-05,3.02e-05,3.76e-05,0.004919,0.0026232,0.0005495,0.488456,0.243763,0.0018961,4.42266,2.18326
quick,6.42e-05,3.9e-05,1.09e-05,0.0060031,0.0035725,0.0001355,0.594635,0.35414,0.0018157,5.38232,3.22105,0.0057286
randomized quick,8.8e-06,8.5e-06,1.06e-05,0.0001208,0.0001196,0.0001463,0.0017606,0.0015657,0.0018436,0.0045891,0.0047654,0.0061053
merge,1.76e-05,1.64e-05,1.96e-05,0.0001774,0.0001953,0.0002361,0.0021245,0.0020896,0.0027133,0.006689,0.0066057,0.0086789
heap,2.02e-05,1.61e-05,1.82e-05,0.0002742,0.0002446,0.0002727,0.0034479,0.0032177,0.0036778,0.0114713,0.0110262,0.0124033
